"","Abd-S102","Abd-S103","Abd-S120","Abd-S123","Abd-S156","Abd-S39","Abd-S42","Abd-S47","Abd-S51","Abd-S54","Abd-S57","Abd-S66","Abd-S79","Abd-S8","Abd-S83","Abd-S98","Res-S10","Res-S125","Res-S127","Res-S136","Res-S139","Res-S146","Res-S149","Res-S150","Res-S164","Res-S166","Res-S174","Res-S177","Res-S184","Res-S19","Res-S26","Res-S40","Res-S77","Res-S87","Skin-S140","Skin-S142","Skin-S152","Skin-S38","Skin-S43","Skin-S46","Skin-S52","Skin-S74","Uri-S112","Uri-S134","Uri-S147","Uri-S157","Uri-S20","Uri-S93"
"AAR2",4.79465187590978,4.90208469208752,5.04186843977729,5.10900760059424,5.11140799684722,4.58541732713929,4.7796265337336,4.80488208929757,4.76055488634714,4.78838485484435,5.09280112260858,4.96445501469414,4.80467445216121,4.79689144869896,5.22295289653833,5.16606425373512,4.39585091626813,4.37011999804707,4.92070103824031,4.87718610727545,4.96724071037211,4.59573912399466,4.69225571588919,5.12298861319347,4.3239121324668,4.96764081677916,4.44399966155269,4.44429177334179,4.7484984332945,4.64038881475605,4.83563214266728,4.65417608944307,4.58842071480626,5.06079387472359,4.87486199184279,4.99617152329504,4.70751934810295,4.78941326505843,4.74876814193843,4.82243583685167,4.67888490571863,5.18538499894634,4.94254846219622,4.7783512241889,4.66386432855633,4.70461159342091,4.7551586902549,4.85400280710225
"AARS1",6.17286817699647,7.57155649875224,5.70526568227724,6.06862382213712,5.26496604288084,5.76303628090074,5.3512891030204,5.39812416690182,4.91944784843297,5.92472486901909,5.41079014243077,5.21345696682704,5.71448653317778,7.03944264108297,5.20517993699413,5.73996095758633,6.12258498235686,5.85472684072703,5.26482716734891,5.2062539510475,6.22469352172985,5.00492595651564,4.52690546274925,7.13724489615262,6.06091000348305,5.44528557256004,5.66212426767142,5.73724838271925,6.16099805690794,5.80220110155588,5.65226174608363,5.71118938676975,5.8105438265768,5.45309663078906,5.60690487759252,5.36040053315373,5.41559469052387,6.17704394129099,6.04861552619999,6.44628663665741,6.47740329938662,6.10793589656552,5.98441639155369,5.29998341338007,5.5982314340232,5.70677853230938,6.29110065613189,6.4609484878079
"AARS2",4.52966226666395,5.07911220082848,4.74526727357889,4.42343345114323,4.33426098889305,3.82460774734604,4.67143167953658,5.17070872058512,4.85396009283599,4.93248257541654,4.50382047247011,4.59728188526966,4.77392078791384,4.65349399462567,4.14445223019253,4.64012898507062,4.73273337760009,4.96720713260061,4.63887640168019,4.713915306326,4.89322112153295,4.59097636392489,4.50236480274538,5.05963329183893,4.88146092466407,4.66050710193408,4.80527107167458,5.03022697620383,4.6458521766805,4.68336479994264,4.60377919750028,4.56884085242525,4.74075320560593,4.54334800155924,4.06219143079532,4.49891969845694,4.96555240801094,4.90650219508848,4.56664004498095,4.48270642596739,4.86527321864163,4.79333231550647,4.42316987562171,4.49212216079555,4.78910936695104,4.90635193430657,4.36856205589099,4.67954381661896
"AARSD1",-0.828284400584888,1.4159758723556,0.704340991243194,0.597531968330066,0.721859197751174,0.674635276663963,0.591732010795116,1.59555542803265,1.04252136752362,0.956151687407262,0.654284538067487,1.11605225380033,1.14297778022613,0.986418686997913,0.631957597348152,0.439232467423654,1.18676706072649,0.785706893845477,0.791939008015715,0.527303228855904,1.06914287206264,0.430566176882325,-0.78809825628627,0.988424723403134,1.31541329640467,0.236265162681851,1.1115718158012,1.268293317877,1.25661641457163,0.843781879738581,1.09322297866348,1.2724257935144,1.29677302208403,0.727184576009034,0.401874549935054,0.651421329968628,1.23176829179984,1.17852782864014,1.37095853349861,1.17969141225477,1.56928045394587,0.732887843067638,1.17949422565161,0.932316408832993,0.65581491101087,0.331051802138549,1.69100651368183,1.25602999891661
"AASDH",3.44013422065798,3.96658977623551,4.19069235699165,4.46428381701998,4.08892463015032,4.52797777449717,3.79112477429257,3.90603670494234,4.29666095633507,4.26265551380915,4.23322510845464,4.22877193628928,4.37002786123698,3.97770307477425,4.44628653346621,4.46264802845016,4.08019848977249,4.4947499376756,4.06090442844433,4.33141026968901,4.44456115198934,3.81749229782703,3.62313087647644,4.24620091748761,4.5808279570227,4.06753568749629,4.23197165887033,4.39861703679279,4.3255441523293,4.20953806982248,4.32739496125208,4.43948680120748,4.46805830979368,4.27558863550326,4.18056823157558,4.0137061251198,4.24715242242547,4.30389491402573,4.36970765125916,3.88659788565589,4.05009791885648,4.28396826430561,4.14556100436723,4.27929475773719,3.9711233137266,4.00476175789367,4.44317721815941,4.20938225261483
"AASDHPPT",3.91985050531363,4.9721086866613,4.6205512748838,5.01714801861855,4.77879981948461,4.64966174193891,4.07900670013133,3.9123865642615,4.31137367498393,4.35270808194448,4.96595910349037,4.3837230976891,4.31886605085726,4.8873884380061,5.10193927825142,5.11706443319124,4.32432009450301,4.47562856875593,4.31200651121899,4.3409008790406,4.79344961761858,3.52963714306804,3.37539710976999,5.07252888994287,4.37200793248022,4.71388744551132,4.35052538261367,4.26793535926161,4.87187315685266,4.62690368276831,4.77198652752544,4.87301269510908,4.65225766398856,4.76256047363027,4.78858862156547,4.2636361189615,4.83688040091274,4.96382898396815,4.99745007266434,4.96786294591341,5.14326965246436,5.12637603820406,5.04015529329324,4.7181052967975,4.02304931812521,4.07997191455062,4.93193578062362,4.90392004167322
"AASS",1.6745490887382,1.04564052262417,2.30277132011441,1.48629697637563,2.40301637389676,2.6147854737714,2.33543897702807,2.2045039430122,2.81328354661856,2.6416378265857,2.65776205402125,3.15372151660604,2.23179670310134,2.89706163057947,2.24810909613075,2.75039532615146,3.12176101275248,3.10327763492233,2.66198618180871,2.05066252947929,3.25693567698183,3.00039100172466,3.08936223660935,2.15523204684861,3.456181394955,3.07238375228936,2.50390179310726,2.71891315063661,2.46667549850256,1.79783647177011,3.87319976683683,2.76717760721622,2.49526079997285,2.22634631559291,2.62200825743726,1.94941332211977,2.76990149680935,2.31484618651765,1.96563369167118,2.30449252443989,3.21075699943172,2.51547871074776,3.23408887738151,2.7515955143323,3.37930335782149,3.34126139440803,2.18781023788247,2.81964440354465
"AATBC",5.01843925057719,4.48362087009745,6.83067176958692,5.02957423188984,4.26918137030349,3.84826666342354,3.96965847929439,1.80115806191308,4.27180134018391,4.54767936465068,4.95193483590623,4.4967164472387,4.61719671031942,3.50143877060654,6.01028238410043,6.09424045295663,2.4981410134715,3.56273530429568,5.73543412646181,5.33055250210297,5.06901880259955,4.01175538917912,4.91313043709269,4.02523337869285,5.53052498134502,4.0382915077997,4.62882226758302,2.96052644041606,4.11624880391865,4.48462990460542,4.26218263698761,4.47466759458856,4.19883681386022,5.37586434305658,3.08127173118445,5.80940612606544,5.94191451700775,3.33232370081134,4.99745007266434,5.45352627892398,3.28425789519953,2.38310460356985,5.07976740780692,6.95839149507572,3.61902546491669,5.09745860432835,5.4903354531991,5.05711210929276
"AATF",5.89002114512767,5.72020574508802,6.04414800455839,6.04922608463936,5.98742437599511,5.65539335616646,6.01906635359663,5.79340034490334,5.74496816358436,5.98351166862783,5.81758748933829,6.02287173435163,6.05865766639777,5.68755541185282,5.93833670619302,6.04560676242772,5.63492556009956,6.11694112031458,5.96812612632003,6.13117229844166,6.19182005800548,6.03168907545522,6.11689832230303,6.08927657393308,5.76772773002983,6.12891246346059,5.71532062356926,5.80210536236923,5.72883239644209,5.93397507453451,5.67610193787074,5.77749206449477,6.03896696685701,5.95307025614399,5.81128377765399,6.20120441830153,5.64985284130413,5.89020881773465,5.86757136589657,5.85251453701707,5.52466928059424,6.01135691899123,5.68641022465497,5.80610291477752,5.99795682987617,6.01961934672973,5.79326621483327,5.68479646243707
"AATK",6.31575557667311,4.93313920173569,4.14282683114421,4.06141029499339,5.94827357413641,6.43946773729664,3.21479407905789,1.68728017697082,4.86064426802568,3.50423479243932,4.85729522808256,5.78403109899552,4.45433751247408,3.53628278148804,6.52600036064286,6.12669248419032,3.45049191633976,4.53489032758281,3.47520709623624,4.60259965219238,6.10871997363744,5.14310905333788,5.26202673856997,4.74618332127776,4.19615231578974,5.66847180066004,3.90094166686354,3.34833237427961,5.75537070121037,5.35579955113043,4.92026733410975,4.87827704467736,5.62230208578305,5.08197830665646,5.05255580896357,5.08739237148785,5.26401408674914,3.91861124743955,3.85958876086658,4.36432339689995,4.7789065330606,2.22333504404991,4.67411387988117,4.6062136294566,4.00438265912304,4.47620264902525,4.70815607119328,6.64918795089698
"ABALON",-0.487162309572936,-1.74469916500456,-2.58477877746142,-2.56885537076663,-0.559153722706607,0.44565038953816,-1.61238061814866,-1.17413569430243,-2.47664263671439,-2.1842928057799,-2.61790807683962,-2.44712310076702,-2.03798257863096,-0.744188949680435,-1.6967101460106,-2.67190424623417,-1.21512754904856,-1.82553281514653,-2.04677625946774,-1.78748826931979,-2.10248269678179,-2.3792683531258,-2.39381203184109,-1.03855689579243,-1.82498741719145,-0.985534159869474,-1.48860026422937,-1.63817119023683,-2.52243118762865,-2.55197462248501,-3.15183174196591,-2.18680623008104,-1.83669960761001,-2.52094294973818,-1.00838341270142,-2.45837390844851,-2.6848835938542,-1.98397564185009,-2.57786050659181,-3.15183174196591,-1.14800594683365,-2.00445345870367,-3.15183174196591,-2.56804232332491,-1.41980826501278,-1.16296663064622,-2.13332407201586,-0.757202778244903
"ABAT",5.523790612794,4.83789535929269,4.83562810863478,4.54267011068535,5.02803037516841,4.74936471266517,4.28753309600189,3.64897381689739,4.45521718960801,4.17521619104906,4.7958110257731,4.60149921254359,4.48419763010777,4.48090114894269,5.47470468111124,5.51887329563535,4.04169028139251,4.37011999804707,4.58150332267275,4.51308725124923,4.68626225383318,4.14444835925313,4.31215512326434,4.22325525775464,4.25290903752483,4.26979467911517,4.28346161676872,4.32163665770048,4.64230161088296,4.72509753271204,4.71626506155489,4.56558126448894,4.51635946207125,5.12598817803044,4.63117348748035,4.86824749503877,4.51202785660783,4.17538214851006,4.38876364094492,3.98497723005531,4.52970304163417,5.58796094140266,4.92742928387883,4.79010428859373,4.15160882601107,4.74625389687993,4.5322264634887,4.84501175755018
"ABCA1",4.95696571453732,5.0429636705505,7.38016529957465,6.30675586090972,4.75738753309914,6.28333975998076,6.35309091318069,4.88778001505817,5.73590797756861,4.74277063545105,4.67579733773558,6.12747297551277,5.4763279581663,4.34501799180987,4.76325852769695,6.94492971804726,4.17474304504649,5.89948441881139,4.71198846964918,6.03407905564407,5.87429982726667,6.090237435551,6.6297989238266,4.2687873390701,4.38769003685772,6.60173136660197,5.02647413795537,5.16853544814447,5.08826350085111,4.84058944808613,4.73240629196905,5.22050236212658,5.56986589470002,3.68099308792882,6.03688941501164,5.88763235308193,5.2991017217857,5.10967856036996,4.81225104957211,6.06000212291624,4.95353540154707,3.70652734658392,5.02805641998414,6.81906424152896,5.53460696232922,5.58009157458079,5.57660486625853,5.27360527495842
"ABCA10",-1.03479752316938,1.25675557605962,0.322134087084829,0.235088383516877,0.316014764213458,1.09950533285569,1.53684691795883,0.973849188154602,0.994706982530818,0.594644922422516,0.288184176204597,0.544884815650389,0.86028090380777,0.647068985496414,-0.056281010726754,0.391192217597184,1.57362080586928,1.10299104577517,1.53455881915127,0.879586912523416,0.104690836610707,1.2771661673419,-0.0470179858116654,-0.0954578427267237,0.985169275641938,-0.155913230691099,1.71479295119116,1.29921650069465,1.01444868689971,0.796382303401925,1.05949988288486,1.20698715560699,0.264147630378835,0.727184576009034,0.517130790624291,0.831090345541382,1.49648984451053,1.4980325785503,1.10206499093572,0.567991030640492,0.77349644085167,1.05110116298404,1.15002445431723,0.97413065862039,1.26993153607525,1.34852932106196,0.129048876660525,0.686873786908651
"ABCA11P",-1.92828253057152,-0.792805968333561,-0.873266021635427,-1.15630438463674,0.00322152621511831,-0.0417350439559005,-1.0351449118287,-1.68550139913997,-0.622148571718014,-0.882197819831484,-0.381594627248275,-1.33655884691438,-0.984258964348815,-0.92196261185625,-0.811499560399332,-0.361038104408744,-0.089436770431185,-0.788419453894154,-1.19663845107885,-1.78748826931979,-0.485534363885115,-1.68155205991428,-1.89945522787978,-0.651689361294055,-1.33862606172671,-2.56842273286789,-1.13956621168563,0.0729822059123596,0.668462690812282,-0.947388857610605,0.714203660187256,-0.126672630735358,-0.354195163531216,-1.74826075376512,0.209639767573456,-0.740382723308021,0.0820587149997187,0.130226929269138,-0.180864361097918,-1.69796897349772,-0.745597747848952,-0.936050739803325,-0.0252403781707599,-0.247993146045119,-0.779024066541144,-0.357209445786839,0.0508334103314309,-1.08356890910308
"ABCA13",0.622633551415194,1.04564052262417,-2.58477877746142,-1.57084423832328,-0.742225765767015,4.10550004437982,-0.623986384069104,-1.68550139913997,-1.15760311364757,-3.15183174196591,0.743830386118162,-0.89515530703252,-0.263677570184157,1.69023478251755,-0.51366750601359,-0.535766646695203,-0.841601826504907,-2.06051159753436,-1.70472483420084,-1.40256048309449,0.021610530748082,-1.50801838113244,0.167956668670609,0.118619526267399,-3.15183174196591,-0.348474897420577,0.413309403383724,-2.60207976831014,-2.52243118762865,-1.31274597175542,-1.29241268760222,-0.75008082323707,-1.4592363639866,-0.582178264855314,0.139414525247841,-1.99200256386929,-3.15183174196591,-1.52985749876675,-0.372911058803617,2.05558134146534,0.77349644085167,-2.66122399313441,-0.498434079628084,-2.15359172297569,-1.63705435129877,-1.96752976326505,2.51357195219478,-1.50603360900554
